nome,nome_original,cidade,bairro,rua,tem_site,site,telefone_original,whatsapp_limpo,link_google_maps,mensagem_curta_inicial,mensagem_explicacao_preco,link_whatsapp_direto
Clinica de Psicologia,Clinica de Psicologia | Dom Clinica Terapeutica | Curitiba,Curitiba,Centro / Região,"Clinica terapeutica em curitiba. Psicologia, psiquiatria com horário agendado....",SIM,https://www.clinicadom.com/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Clinica%20de%20Psicologia%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Clinica de Psicologia aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Clinica%20de%20Psicologia%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Clnicas de psicologia,Clínicas de psicologia em Curitiba - Doctoralia,Curitiba,Centro / Região,Encontre a melhor clínica de psicologia em Curitiba entre os disponíveis. Consulte as opiniões de pa...,NÃO (OPORTUNIDADE 🔥),https://www.doctoralia.com.br/clinicas/psicologia/curitiba,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Clnicas%20de%20psicologia%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Clnicas de psicologia aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Clnicas%20de%20psicologia%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Clnica Centro Do Ser / Psicologia / Curitiba,Clínica Centro Do Ser / Psicologia / Curitiba,Curitiba,Centro / Região,A Clínica Centro do Ser oferece instalações modernas e profissionais de saúde experientes e dedicado...,SIM,https://www.centrodoser.com.br/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Clnica%20Centro%20Do%20Ser%20/%20Psicologia%20/%20Curitiba%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Clnica Centro Do Ser / Psicologia / Curitiba aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Clnica%20Centro%20Do%20Ser%20/%20Psicologia%20/%20Curitiba%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Psiclogos Unimed Curitiba: Marque Sua,Psicólogos Unimed Curitiba: Marque Sua Consulta | Doctoralia,Curitiba,Centro / Região,Os psicólogos mais recomendados de Unimed em Curitiba. Veja as opiniões dos pacientes da doctoralia....,NÃO (OPORTUNIDADE 🔥),https://www.doctoralia.com.br/psicologo/curitiba/unimed,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Psiclogos%20Unimed%20Curitiba%3A%20Marque%20Sua%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Psiclogos Unimed Curitiba: Marque Sua aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Psiclogos%20Unimed%20Curitiba%3A%20Marque%20Sua%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Atendimento psicolgico,Atendimento psicológico em Curitiba. Agende uma Consulta - Doctor,Curitiba,Centro / Região,Encontre as melhores clínicas e especialistas em Atendimento psicológico de Curitiba. Agenda uma con...,NÃO (OPORTUNIDADE 🔥),https://www.doctoralia.com.br/servicos-de-tratamento/atendimento-psicologico/curitiba,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Atendimento%20psicolgico%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Atendimento psicolgico aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Atendimento%20psicolgico%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Universidades de Curitiba oferecem atendiment,Universidades de Curitiba oferecem atendimento psicológico gratui,Curitiba,Centro / Região,Várias universidades de Curitiba oferecem atendimento psicológico gratuito ou com preços acessíveis ...,SIM,https://www.bemparana.com.br/noticias/parana/atendimento-psicologico-universidades-curitiba/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Universidades%20de%20Curitiba%20oferecem%20atendiment%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Universidades de Curitiba oferecem atendiment aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Universidades%20de%20Curitiba%20oferecem%20atendiment%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Clnica de Psicologia,Clínica de Psicologia em Curitiba PR | Clínica EOS,Curitiba,Centro / Região,"Clínica de psicologia em Curitiba PR, oferecendo atendimento psicológico de qualidade. Agende sua co...",SIM,https://clinicapsieos.com.br/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Clnica%20de%20Psicologia%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Clnica de Psicologia aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Clnica%20de%20Psicologia%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Atendimento Psicolgico Com Preo Acessvel,Atendimento Psicológico Com Preço Acessível - Curitiba - Luana...,Curitiba,Centro / Região,"Em muitos casos, o psicólogo online torna possível um cuidado que, de outra forma, seria adiado por ...",SIM,https://psicologaluanaamaral.com.br/psicologo/atendimento-psicologico-com-preco-acessivel-curitiba/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Atendimento%20Psicolgico%20Com%20Preo%20Acessvel%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Atendimento Psicolgico Com Preo Acessvel aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Atendimento%20Psicolgico%20Com%20Preo%20Acessvel%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Atendimento psicolgico on line,Atendimento psicológico on line,Curitiba,Centro / Região,Psicólogo. : Atendimento psicológico on line. Normalmente responde em 7 dias.Localização. São José d...,SIM,https://www.starofservice.com.br/profissional/psicologia/sao-jose-dos-pinhais/43999458/atendimento-psicologico-on-line,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Atendimento%20psicolgico%20on%20line%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Atendimento psicolgico on line aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Atendimento%20psicolgico%20on%20line%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
eCAC,eCAC - Centro Virtual de Atendimento,Curitiba,Centro / Região,"eCAC - Centro Virtual de Atendimento. Para cadastrar um procurador, o contribuinte pode utilizar...",SIM,https://cav.receita.fazenda.gov.br/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/eCAC%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da eCAC aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20eCAC%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Atendimento,Atendimento | Psicólogo Online e Presencial em Curitiba,Curitiba,Centro / Região,"Aqui, você encontrará tudo sobre agendamentos, modalidades de atendimento (presencial e online) e o ...",SIM,https://onlinepsi.com.br/tag/atendimento/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Atendimento%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Atendimento aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Atendimento%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Site de Atendimento Psicolgico Online,Site de Atendimento Psicológico Online | Aplicativo PSIAPP,Curitiba,Centro / Região,Plataforma de atendimento psicológico online. Caso você seja psicólogo ou psicoterapeuta e queira at...,SIM,https://psiapp.com.br/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Site%20de%20Atendimento%20Psicolgico%20Online%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Site de Atendimento Psicolgico Online aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Site%20de%20Atendimento%20Psicolgico%20Online%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
"Psiclogo, Curitiba, PR","Psicólogo, Curitiba, PR - Rede Psicólogos",Curitiba,Centro / Região,Psicólogos especialistas em terapia de família online.Curitiba. Procurando um Psicólogo(a) perto de ...,SIM,https://redepsicologos.com.br/psicologo/curitiba/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Psiclogo%2C%20Curitiba%2C%20PR%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Psiclogo, Curitiba, PR aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Psiclogo%2C%20Curitiba%2C%20PR%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
Terapia presencial,Terapia presencial em Curitiba - Psicologo Rafael Freire,Curitiba,Centro / Região,"Sou psicólogo de formação humanista, registro CRP 08/36267, com foco em atendimentos para adultos na...",SIM,https://psirafaelfreire.com.br/,Buscar WhatsApp no Google/IG,,https://www.google.com/maps/search/Terapia%20presencial%20curitiba,"Olá, tudo bem? Meu nome é João, sou da agência Webfy. 🚀

Vi o perfil da Terapia presencial aí em Curitiba e achei o trabalho de vocês muito bacana! Posso te fazer uma pergunta rápida sobre o site de vocês?","É que vi que vocês não têm um site moderno para celular e estão perdendo clientes do Google para a concorrência.

Um site desse nível no mercado custa entre R$ 2.000 e R$ 3.000, mas nós da Webfy estamos com uma ação onde a criação e mão de obra saem 100% DE GRAÇA.

A única coisa necessária é a taxa de hospedagem para o site ficar online no seu nome.

Já deixei uma prévia demonstrativa do site de vocês pronta. Posso te mandar o link para você dar uma olhada sem compromisso?",https://wa.me/nan?text=Ol%C3%A1%2C%20tudo%20bem%3F%20Meu%20nome%20%C3%A9%20Jo%C3%A3o%2C%20sou%20da%20ag%C3%AAncia%20Webfy.%20%F0%9F%9A%80%0A%0AVi%20o%20perfil%20da%20Terapia%20presencial%20a%C3%AD%20em%20Curitiba%20e%20achei%20o%20trabalho%20de%20voc%C3%AAs%20muito%20bacana%21%20Posso%20te%20fazer%20uma%20pergunta%20r%C3%A1pida%20sobre%20o%20site%20de%20voc%C3%AAs%3F
